
"03/07/2020 13:47:15"
"Observation"	"CO2B um/m"	"Integral"	"Peak"
679	541.83	0	0
680	543.96	0	0
681	545.94	0	0
682	546.91	0	0
683	548.39	0	0
684	550.57	0	0
685	552.35	0	0
686	554.98	0	0
687	558.55	0	0
688	561.93	0	0
689	564.93	0	0
690	568.81	0	0
691	571.68	0	0
692	574.31	0	0
693	575.98	0	0
694	576.84	0	0
695	577.24	0	0
696	577.29	0	0
697	576.28	0	0
698	575.45	0	0
699	575.37	0	0
700	576.09	0	0
701	577.38	0	0
702	578.99	0	0
703	580.49	0	0
704	582.04	0	0
705	583.80	0	0
706	585.06	0	0
707	585.97	0	0
708	585.99	0	0
709	584.97	0	0
710	583.36	0	0
711	580.93	0	0
712	578.07	0	0
713	574.37	0	0
714	570.57	0	0
715	566.59	0	0
716	562.44	0	0
717	558.56	0	0
718	555.08	0	0
719	551.83	0	0
720	549.00	0	0
721	546.76	0	0
722	545.09	0	0
723	543.77	0	0
724	543.42	0	0
725	543.77	0	0
726	545.12	0	0
727	546.98	0	0
728	549.44	0	0
729	551.22	0	0
730	552.34	0	0
731	553.00	0	0
732	553.46	0	0
733	553.38	0	0
734	553.11	0	0
735	553.22	0	0
736	553.68	0	0
737	554.76	0	0
738	556.18	0	0
739	557.58	0	0
740	558.47	0	0
741	559.13	0	0
742	559.23	0	0
743	558.81	0	0
744	557.92	0	0
745	556.88	0	0
746	555.41	0	0
747	553.86	0	0
748	551.66	0	0
749	548.84	0	0
750	545.53	0	0
751	541.55	0	0
752	537.02	0	0
753	531.90	0	0
754	527.26	0	0
755	523.76	0	0
756	522.68	0	0
757	522.44	0	0
758	522.82	0	0
759	525.19	0	0
760	527.03	0	0
761	528.63	0	0
762	529.83	0	0
763	530.23	0	0
764	530.43	0	0
765	530.45	0	0
766	531.04	0	0
767	531.85	0	0
768	532.88	0	0
769	534.75	0	0
770	537.52	0	0
771	539.69	0	0
772	540.36	0	0
773	540.85	0	0
774	539.40	0	0
775	537.29	0	0
776	533.47	0	0
777	530.12	0	0
778	527.39	0	0
779	525.19	0	0
780	524.54	0	0
781	524.36	0	0
782	525.68	0	0
783	527.82	0	0
784	530.22	0	0
785	532.29	0	0
786	533.80	0	0
787	534.78	0	0
788	534.67	0	0
789	534.36	0	0
790	533.56	0	0
791	532.66	0	0
792	532.00	0	0
793	531.43	0	0
794	531.77	0	0
795	531.35	0	0
796	530.52	0	0
797	530.01	0	0
798	530.44	0	0
799	529.61	0	0
800	530.52	0	0
801	529.86	0	0
802	529.50	0	0
803	529.45	0	0
804	527.73	0	0
805	526.79	0	0
806	525.81	0	0
807	523.69	0	0
808	523.71	0	0
809	522.53	0	0
810	523.01	0	0
811	523.64	0	0
812	524.97	0	0
813	526.65	0	0
814	527.35	0	0
815	529.04	0	0
816	529.75	0	0
817	529.40	0	0
818	530.13	0	0
819	529.14	0	0
820	529.31	0	0
821	528.54	0	0
822	528.99	0	0
823	528.41	0	0
824	528.87	0	0
825	529.91	0	0
826	529.51	0	0
827	529.77	0	0
828	529.01	0	0
829	525.02	0	0
830	518.92	0	0
831	508.63	0	0
832	494.12	0	0
833	476.32	0	0
834	454.32	0	0
835	428.56	0	0
836	401.14	0	0
837	372.88	0	0
838	343.62	0	0
839	314.92	0	0
840	288.42	0	0
841	263.33	0	0
842	239.89	0	0
843	218.54	0	0
844	199.90	0	0
845	182.76	0	0
846	166.90	0	0
847	152.98	0	0
848	140.74	0	0
849	129.51	0	0
850	118.93	0	0
851	109.89	0	0
852	101.24	0	0
853	93.61	0	0
854	86.35	0	0
855	80.25	0	0
856	74.24	0	0
857	68.52	0	0
858	63.90	0	0
859	59.07	0	0
860	54.71	0	0
861	51.11	0	0
862	47.36	0	0
863	43.87	0	0
864	41.19	0	0
865	37.96	0	0
866	35.69	0	0
867	33.05	0	0
868	30.96	0	0
869	28.62	0	0
870	26.95	0	0
871	24.91	0	0
872	23.28	0	0
873	21.91	0	0
874	20.50	0	0
875	19.23	0	0
876	18.18	0	0
877	16.96	0	0
878	15.77	0	0
879	14.84	0	0
880	14.09	0	0
881	12.86	0	0
882	12.46	0	0
883	11.49	0	0
884	10.71	0	0
885	10.07	0	0
886	9.87	0	0
887	8.97	0	0
888	8.48	0	0
889	8.27	0	0
890	7.54	0	0
891	7.24	0	0
892	7.01	0	0
893	6.34	0	0
894	6.15	0	0
895	5.92	0	0
896	5.40	0	0
897	5.33	0	0
898	4.93	0	0
899	4.55	0	0
900	4.65	0	0
901	4.42	0	0
902	4.26	0	0
903	4.08	0	0
904	3.59	0	0
905	3.37	0	0
906	3.48	0	0
907	2.99	0	0
908	3.20	0	0
909	2.72	0	0
910	2.92	0	0
911	2.41	0	0
912	2.70	0	0
913	2.26	0	0
914	2.11	0	0
915	2.37	0	0
916	1.91	0	0
917	1.84	0	0
918	1.96	0	0
919	1.50	0	0
920	1.94	0	0
921	1.48	0	0
922	1.80	0	0
923	1.34	0	0
924	1.36	0	0
925	1.47	0	0
926	1.04	0	0
927	1.39	0	0
928	1.03	0	0
929	1.17	0	0
930	1.25	0	0
931	0.74	0	0
932	1.11	0	0
933	0.90	0	0
934	0.67	0	0
935	1.01	0	0
936	0.61	0	0
937	0.86	0	0
938	0.77	0	0
939	0.49	0	0
940	0.82	0	0
941	0.66	0	0
942	0.32	0	0
943	0.37	0	0
944	0.73	0	0
945	0.57	0	0
946	0.57	0	0
947	0.47	0	0
948	0.43	0	0
949	0.38	0	0
950	0.48	0	0
951	0.39	0	0
952	0.50	0	0
953	0.52	0	0
954	0.46	0	0
955	0.38	0	0
956	0.46	0	0
957	0.38	0	0
958	0.37	0	0
959	0.35	0	0
960	0.41	0	0
961	0.63	0	0
962	0.85	0	0
963	0.83	0	0
964	0.50	0	0
965	0.47	0	0
966	0.62	0	0
967	0.55	0	0
968	0.33	0	0
969	0.33	0	0
970	0.22	0	0
971	0.52	0	0
972	0.53	0	0
973	0.10	0	0
974	0.19	0	0
975	0.07	0	0
976	-0.03	0	0
977	0.11	0	0
978	0.30	0	0
979	-0.12	0	0
980	0.03	0	0
981	0.22	0	0
982	-0.20	0	0
983	0.00	0	0
984	-0.04	0	0
985	-0.10	0	0
986	0.07	0	0
987	0.14	0	0
988	-0.30	0	0
989	0.00	0	0
990	0.00	0	0
991	-0.18	0	0
992	0.11	0	0
993	-0.28	0	0
994	-0.19	0	0
995	0.01	0	0
996	-0.39	0	0
997	-0.06	0	0
998	-0.30	0	0
999	-0.26	0	0
1000	-0.14	0	0
1001	-0.42	0	0
1002	-0.07	0	0
1003	-0.35	0	0
1004	-0.34	0	0
1005	-0.04	0	0
1006	-0.38	0	0
1007	-0.47	0	0
1008	-0.09	0	0
1009	-0.04	0	0
1010	-0.16	0	0
1011	-0.14	0	0
1012	0.02	0	0
1013	-0.42	0	0
1014	-0.56	0	0
1015	-0.57	0	0
1016	-0.55	0	0
1017	-0.52	0	0
1018	-0.57	0	0
1019	-0.57	0	0
1020	-0.39	0	0
1021	-0.26	0	0
1022	-0.15	0	0
1023	-0.20	0	0
1024	-0.17	0	0
1025	-0.26	0	0
1026	-0.21	0	0
1027	-0.42	0	0
1028	-0.63	0	0
1029	-0.60	0	0
1030	-0.65	0	0
1031	-0.31	0	0
1032	-0.53	0	0
1033	-0.58	0	0
1034	-0.28	0	0
1035	-0.66	0	0
1036	-0.41	0	0
1037	-0.27	0	0
1038	-0.71	0	0
1039	-0.71	0	0
1040	-0.38	0	0
1041	-0.28	0	0
1042	-0.44	0	0
1043	-0.61	0	0
1044	-0.38	0	0
1045	-0.45	0	0
1046	-0.63	0	0
1047	-0.26	0	0
1048	-0.67	0	0
1049	-0.29	0	0
1050	-0.33	0	0
1051	-0.61	0	0
1052	-0.47	0	0
1053	-0.24	0	0
1054	-0.53	0	0
1055	-0.25	0	0
1056	-0.29	0	0
1057	-0.57	0	0
1058	-0.33	0	0
1059	-0.19	0	0
1060	-0.52	0	0
1061	-0.48	0	0
1062	-0.20	0	0
1063	-0.17	0	0
1064	-0.38	0	0
1065	-0.49	0	0
1066	-0.19	0	0
1067	-0.13	0	0
1068	-0.52	0	0
1069	-0.40	0	0
1070	0.01	0	0
1071	-0.20	0	0
1072	-0.40	0	0
1073	-0.09	0	0
1074	-0.03	0	0
1075	-0.38	0	0
1076	-0.36	0	0
1077	0.00	0	0
1078	0.04	0	0
1079	-0.15	0	0
1080	-0.35	0	0
1081	-0.17	0	0
1082	0.05	0	0
1083	-0.07	0	0
1084	-0.31	0	0
1085	-0.33	0	0
1086	-0.04	0	0
1087	0.12	0	0
1088	0.12	0	0
1089	0.56	0	0
1090	0.88	0	0
1091	0.62	0	0
1092	0.41	0	0
1093	0.37	0	0
1094	0.46	0	0
1095	0.67	0	0
1096	0.30	0	0
1097	0.68	0	0
1098	0.73	0	0
1099	0.62	0	0
1100	1.08	0	0
1101	0.44	0	0
1102	0.50	0	0
1103	0.31	0	0
1104	-0.07	0	0
1105	0.15	0	0
1106	-0.31	0	0
1107	-0.58	0	0
1108	-0.24	0	0
1109	-0.44	0	0
1110	-0.79	0	0
1111	-0.80	0	0
1112	-0.56	0	0
1113	-0.57	0	0
1114	-0.86	0	0
1115	-0.76	0	0
1116	-0.59	0	0
1117	-0.98	0	0
1118	-0.98	0	0
1119	-0.56	0	0
1120	-0.77	0	0
1121	-1.03	0	0
1122	-0.61	0	0
1123	-0.76	0	0
1124	-1.06	0	0
1125	-0.71	0	0
1126	-1.09	0	0
1127	-0.61	0	0
1128	-0.86	0	0
1129	-0.80	0	0
1130	-0.75	0	0
1131	-0.93	0	0
1132	-0.73	0	0
1133	-1.04	0	0
1134	-0.56	0	0
1135	-0.97	0	0
1136	-0.72	0	0
1137	-0.62	0	0
1138	-0.83	0	0
1139	-0.87	0	0
1140	-1.00	0	0
1141	-0.72	0	0
1142	-0.58	0	0
1143	-0.87	0	0
1144	-0.63	0	0
1145	-0.28	0	0
1146	-0.46	0	0
1147	-0.29	0	0
1148	0.16	0	0
1149	0.09	0	0
1150	0.72	0	0
1151	0.62	0	0
1152	1.26	0	0
1153	1.17	0	0
1154	1.76	0	0
1155	1.45	0	0
1156	1.75	0	0
1157	1.56	0	0
1158	1.87	0	0
1159	1.27	0	0
1160	1.62	0	0
1161	1.10	0	0
1162	1.34	0	0
1163	0.76	0	0
1164	0.70	0	0
1165	0.82	0	0
1166	0.47	0	0
1167	0.07	0	0
1168	0.46	0	0
1169	0.03	0	0
1170	0.13	0	0
1171	-0.14	0	0
1172	-0.08	0	0
1173	-0.30	0	0
1174	-0.03	0	0
1175	-0.42	0	0
1176	-0.40	0	0
1177	-0.02	0	0
1178	0.13	0	0
1179	0.53	0	0
1180	2.02	0	0
1181	4.57	0	0
1182	8.02	0	0
1183	13.68	0	0
1184	21.16	0	0
1185	29.64	0	0
1186	40.71	0	0
1187	53.59	0	0
1188	67.66	0	0
1189	83.81	0	0
1190	100.54	0	0
1191	119.01	0	0
1192	138.04	0	0
1193	158.62	0	0
1194	178.80	0	0
1195	200.35	0	0
1196	220.55	0	0
1197	240.67	0	0
1198	259.28	0	0
1199	276.79	0	0
1200	292.85	0	0
1201	307.87	0	0
1202	321.02	0	0
1203	333.37	0	0
1204	345.24	0	0
1205	355.21	0	0
1206	365.25	0	0
1207	375.62	0	0
1208	384.84	0	0
1209	395.34	0	0
1210	404.74	0	0
1211	415.29	0	0
1212	424.83	0	0
1213	434.55	0	0
1214	444.57	0	0
1215	453.96	0	0
1216	461.94	0	0
1217	469.91	0	0
1218	476.74	0	0
1219	482.86	0	0
1220	488.10	0	0
1221	493.21	0	0
1222	497.39	0	0
1223	501.74	0	0
1224	504.57	0	0
1225	508.31	0	0
1226	510.71	0	0
1227	514.14	0	0
1228	516.24	0	0
1229	518.44	0	0
1230	521.40	0	0
1231	523.53	0	0
1232	525.76	0	0
1233	528.86	0	0
1234	530.85	0	0
1235	533.67	0	0
1236	537.14	0	0
1237	540.13	0	0
1238	542.98	0	0
1239	544.97	0	0
1240	547.75	0	0
1241	550.20	0	0
1242	552.17	0	0
1243	553.41	0	0
1244	554.00	0	0
1245	553.91	0	0
1246	554.33	0	0
1247	553.95	0	0
1248	552.51	0	0
1249	551.45	0	0
1250	550.90	0	0
1251	550.48	0	0
1252	550.15	0	0
1253	549.91	0	0
1254	550.07	0	0
1255	550.52	0	0
1256	551.06	0	0
1257	551.64	0	0
1258	552.14	0	0
1259	552.92	0	0
1260	553.20	0	0
1261	553.70	0	0
1262	554.58	0	0
1263	555.28	0	0
1264	555.46	0	0
1265	555.83	0	0
1266	557.08	0	0
1267	556.88	0	0
1268	556.38	0	0
1269	555.44	0	0
1270	554.38	0	0
1271	551.47	0	0
1272	548.28	0	0
1273	545.35	0	0
1274	542.99	0	0
1275	540.75	0	0
1276	539.29	0	0
1277	539.01	0	0
1278	539.50	0	0
1279	540.82	0	0
1280	542.84	0	0
1281	544.84	0	0
1282	546.42	0	0
1283	547.51	0	0
1284	548.15	0	0
